Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1uf,C_0805_2012Metric,46.99,-73.66,90,top
C4,1uf,C_0805_2012Metric,52.39,-90.17,0,top
C5,1uf,C_0805_2012Metric,51.12,-29.21,0,top
C6,1uf,C_0805_2012Metric,33.97,-90.17,180,top
C7,1uf,C_0805_2012Metric,33.34,-29.21,180,top
Q1,AO3400,SOT95P280X125-3N,52.07,-86.36,90,top
Q2,AO3400,SOT95P280X125-3N,50.8,-33.02,270,top
Q3,AO3400,SOT95P280X125-3N,34.29,-86.36,90,top
Q4,AO3400,SOT95P280X125-3N,34.29,-33.02,270,top
R1,100,R_0805_2012Metric,55.88,-77.1125,90,top
R2,10K,R_0805_2012Metric,55.88,-81.28,270,top
R3,100,R_0805_2012Metric,55.88,-41.5525,270,top
R4,100,R_0805_2012Metric,29.21,-77.47,90,top
R5,10K,R_0805_2012Metric,55.88,-37.7425,90,top
R6,10K,R_0805_2012Metric,29.21,-81.6375,270,top
R7,100,R_0805_2012Metric,29.21,-40.2825,270,top
R8,10K,R_0805_2012Metric,29.21,-36.4725,90,top
R9,10k,R_0805_2012Metric,50.8,-77.47,0,top
U2,TLV75533PDBVR,SOT95P280X145-5N,50.8,-73.66,0,top
