Comment,Designator,Footprint,LCSC
"1500uf","C1","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm",""
"1uf","C2,C4,C5,C6,C7","Capacitor_SMD:C_0805_2012Metric","C28323"
"D","D1","Diode_THT:D_A-405_P10.16mm_Horizontal",""
"SS34","D2,D3,D4,D5","quadimodo_imported_footprints:DIOM5026X262N","C8678"
"5v Power","J1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"MPU6050","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Mot2","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Mot1","J4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Mot4","J5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Mot3","J6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"3.9vBatt","J7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"VRCONN","JP1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"BCONN","JP2","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"AO3400","Q1,Q2,Q3,Q4","quadimodo_imported_footprints:SOT95P280X125-3N"," C347475"
"10K","R2,R5,R6,R8","Resistor_SMD:R_0805_2012Metric",""
"100","R1,R3,R4,R7","Resistor_SMD:R_0805_2012Metric",""
"10k","R9","Resistor_SMD:R_0805_2012Metric",""
"WeMos_D1_mini","U1","Module:WEMOS_D1_mini_light",""
"TLV75533PDBVR","U2","quadimodo_imported_footprints:SOT95P280X145-5N","C404027"
